area_type,availability,location,total_sqft,bath,balcony,price,BHK,price_per_sqft,SqftClean,price_per_sqft_new,Availability_Year,Availability_Month,IsOutlier
Super built-up  Area,20-May,1St Block Jayanagar,2850.0,4.0,1.0,428.0,4,15017.543859649122,2850.0,15017.543859649122,2020,5,0
Super built-up  Area,18-Jun,1St Block Jayanagar,1630.0,3.0,2.0,194.0,3,11901.840490797544,1630.0,11901.840490797545,2018,6,0
Super built-up  Area,Ready To Move,1St Block Jayanagar,1875.0,2.0,3.0,235.0,3,12533.333333333334,1875.0,12533.333333333334,9999,99,0
Built-up  Area,15-Dec,1St Block Jayanagar,1200.0,2.0,0.0,130.0,3,10833.333333333334,1200.0,10833.333333333334,2015,12,0
Super built-up  Area,18-Jun,1St Block Jayanagar,1235.0,2.0,2.0,148.0,2,11983.805668016194,1235.0,11983.805668016194,2018,6,0
Super built-up  Area,20-May,1St Block Jayanagar,2750.0,4.0,0.0,413.0,4,15018.181818181818,2750.0,15018.181818181818,2020,5,0
Super built-up  Area,20-May,1St Block Jayanagar,2450.0,4.0,2.0,368.0,4,15020.408163265309,2450.0,15020.408163265307,2020,5,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,1875.0,3.0,1.0,167.0,3,8906.666666666666,1875.0,8906.666666666666,9999,99,0
Built-up  Area,Ready To Move,1St Phase Jp Nagar,1500.0,5.0,0.0,85.0,5,5666.666666666667,1500.0,5666.666666666667,9999,99,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,2065.0,4.0,1.0,210.0,3,10169.49152542373,2065.0,10169.49152542373,9999,99,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,2059.0,3.0,2.0,225.0,3,10927.634774162214,2059.0,10927.634774162214,9999,99,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,1394.0,2.0,1.0,100.0,2,7173.601147776184,1394.0,7173.601147776184,9999,99,0
Super built-up  Area,18-May,1St Phase Jp Nagar,1077.0,2.0,2.0,93.0,2,8635.097493036212,1077.0,8635.097493036212,2018,5,0
Plot  Area,Ready To Move,1St Phase Jp Nagar,1566.0,2.0,0.0,180.0,2,11494.25287356322,1566.0,11494.252873563219,9999,99,0
Built-up  Area,Ready To Move,1St Phase Jp Nagar,840.0,2.0,2.0,50.0,1,5952.380952380952,840.0,5952.380952380952,9999,99,0
Super built-up  Area,18-May,1St Phase Jp Nagar,1590.0,3.0,3.0,131.0,3,8238.993710691824,1590.0,8238.993710691824,2018,5,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,2180.0,3.0,2.0,210.0,3,9633.02752293578,2180.0,9633.02752293578,9999,99,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,1180.0,2.0,2.0,88.5,2,7500.0,1180.0,7500.0,9999,99,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,1200.0,2.0,0.0,86.0,2,7166.666666666667,1200.0,7166.666666666667,9999,99,0
Built-up  Area,Ready To Move,1St Phase Jp Nagar,1394.0,2.0,2.0,85.0,2,6097.5609756097565,1394.0,6097.5609756097565,9999,99,0
Super built-up  Area,18-May,1St Phase Jp Nagar,2077.0,3.0,3.0,175.0,3,8425.613866153106,2077.0,8425.613866153106,2018,5,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,1205.0,2.0,1.0,85.0,2,7053.941908713693,1205.0,7053.941908713693,9999,99,0
Super built-up  Area,Ready To Move,1St Phase Jp Nagar,900.0,2.0,1.0,75.0,2,8333.333333333334,900.0,8333.333333333334,9999,99,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1450.0,2.0,1.0,50.75,3,3500.0,1450.0,3500.0,9999,99,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0,1150.0,3500.0,9999,99,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0,1350.0,3500.0,9999,99,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0,1350.0,3500.0,9999,99,0
Super built-up  Area,22-Jun,2Nd Phase Judicial Layout,900.0,2.0,2.0,41.0,2,4555.555555555556,900.0,4555.555555555556,2022,6,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1681.0,3.0,3.0,69.0,3,4104.699583581201,1681.0,4104.699583581201,9999,99,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1350.0,2.0,2.0,47.25,3,3500.0,1350.0,3500.0,9999,99,0
Super built-up  Area,Ready To Move,2Nd Phase Judicial Layout,1150.0,2.0,1.0,40.25,2,3500.0,1150.0,3500.0,9999,99,0
Plot  Area,Ready To Move,2Nd Stage Nagarbhavi,1500.0,4.0,2.0,220.0,4,14666.666666666666,1500.0,14666.666666666666,9999,99,0
Plot  Area,Ready To Move,2Nd Stage Nagarbhavi,1350.0,4.0,1.0,200.0,4,14814.814814814816,1350.0,14814.814814814816,9999,99,0
Plot  Area,Ready To Move,2Nd Stage Nagarbhavi,1200.0,4.0,1.0,225.0,4,18750.0,1200.0,18750.0,9999,99,0
Plot  Area,Ready To Move,2Nd Stage Nagarbhavi,1500.0,3.0,2.0,230.0,4,15333.333333333334,1500.0,15333.333333333334,9999,99,0
Super built-up  Area,Ready To Move,5Th Block Hbr Layout,1206.0,2.0,2.0,56.0,2,4643.449419568822,1206.0,4643.449419568822,9999,99,0
Super built-up  Area,Ready To Move,5Th Block Hbr Layout,1270.0,2.0,2.0,70.0,3,5511.811023622047,1270.0,5511.811023622047,9999,99,0
Super built-up  Area,Ready To Move,5Th Block Hbr Layout,1312.0,2.0,3.0,69.0,2,5259.146341463415,1312.0,5259.1463414634145,9999,99,0
Super built-up  Area,Ready To Move,5Th Block Hbr Layout,1100.0,2.0,2.0,48.0,2,4363.636363636364,1100.0,4363.636363636364,9999,99,0
Built-up  Area,Ready To Move,5Th Block Hbr Layout,3600.0,5.0,3.0,130.0,5,3611.1111111111113,3600.0,3611.1111111111113,9999,99,0
Built-up  Area,Ready To Move,5Th Block Hbr Layout,5100.0,5.0,3.0,300.0,6,5882.35294117647,5100.0,5882.35294117647,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1075.0,2.0,2.0,60.0,2,5581.395348837209,1075.0,5581.395348837209,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1150.0,3.0,3.0,52.5,2,4565.217391304348,1150.0,4565.217391304348,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1256.0,2.0,1.0,62.8,2,5000.0,1256.0,5000.0,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1207.0,2.0,2.0,63.0,2,5219.552609776305,1207.0,5219.552609776305,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1725.0,2.0,2.0,100.0,3,5797.101449275362,1725.0,5797.101449275362,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1440.0,2.0,2.0,60.0,2,4166.666666666667,1440.0,4166.666666666667,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1700.0,2.0,3.0,100.0,3,5882.35294117647,1700.0,5882.35294117647,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,2500.0,5.0,0.0,110.0,5,4400.0,2500.0,4400.0,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,600.0,1.0,1.0,30.0,1,5000.0,600.0,5000.0,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1390.0,2.0,2.0,65.0,2,4676.258992805755,1390.0,4676.258992805755,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1256.0,2.0,1.0,62.8,2,5000.0,1256.0,5000.0,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1000.0,2.0,0.0,48.0,2,4800.0,1000.0,4800.0,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1350.0,2.0,1.0,75.0,3,5555.555555555556,1350.0,5555.555555555556,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,552.0,1.0,1.0,23.5,1,4257.246376811594,552.0,4257.246376811594,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1200.0,2.0,2.0,51.0,2,4250.0,1200.0,4250.0,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1030.0,2.0,2.0,57.0,2,5533.980582524272,1030.0,5533.980582524272,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1200.0,2.0,1.0,68.0,2,5666.666666666667,1200.0,5666.666666666667,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1190.0,2.0,2.0,61.8,2,5193.27731092437,1190.0,5193.27731092437,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,4000.0,5.0,2.0,170.0,5,4250.0,4000.0,4250.0,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1080.0,2.0,1.0,53.0,2,4907.407407407408,1080.0,4907.407407407408,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1041.0,2.0,2.0,54.0,2,5187.319884726225,1041.0,5187.319884726225,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,812.0,2.0,1.0,42.0,2,5172.413793103448,812.0,5172.413793103448,9999,99,0
Built-up  Area,Ready To Move,5Th Phase Jp Nagar,1010.0,2.0,2.0,57.0,2,5643.564356435643,1010.0,5643.564356435643,9999,99,0
Super built-up  Area,Ready To Move,5Th Phase Jp Nagar,1075.0,2.0,2.0,60.0,2,5581.395348837209,1075.0,5581.395348837209,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1192.0,2.0,2.0,74.0,2,6208.053691275168,1192.0,6208.053691275168,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1180.0,2.0,3.0,80.0,2,6779.661016949152,1180.0,6779.661016949152,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,3245.0,4.0,0.0,250.0,4,7704.160246533128,3245.0,7704.160246533128,9999,99,0
Built-up  Area,Ready To Move,6Th Phase Jp Nagar,1645.0,3.0,3.0,100.0,3,6079.0273556231,1645.0,6079.0273556231,9999,99,0
Built-up  Area,Ready To Move,6Th Phase Jp Nagar,1140.0,2.0,2.0,65.0,2,5701.754385964912,1140.0,5701.754385964912,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,2040.0,3.0,0.0,200.0,3,9803.921568627453,2040.0,9803.921568627451,9999,99,0
Super built-up  Area,Ready To Move,6Th Phase Jp Nagar,1213.0,2.0,1.0,63.0,2,5193.734542456719,1213.0,5193.734542456719,9999,99,0
Built-up  Area,Ready To Move,6Th Phase Jp Nagar,1216.0,2.0,2.0,60.0,2,4934.210526315789,1216.0,4934.210526315789,9999,99,0
